Country,Data source,Sector,Gas,Unit,2010,2011,2012,2013,2014,2015,2016,2017,emm2018
Singapore,CAIT,Total including LUCF,All GHG,MtCO₂e,55.98,59.05,58.66,59.57,60.78,62.51,63.99,66,66.67
Papua New Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,48.67,56.74,57.44,58.62,60.2,62.81,63.56,63.76,64.09
Hungary,CAIT,Total including LUCF,All GHG,MtCO₂e,64.35,62.68,58.81,56.47,56.74,59.67,60.86,62.78,62.81
Serbia,CAIT,Total including LUCF,All GHG,MtCO₂e,28.54,65.63,60.89,61.66,53.76,60.07,64.1,64.42,62.51
Ireland,CAIT,Total including LUCF,All GHG,MtCO₂e,62.91,58.41,60.06,59.14,59.3,61.1,63.08,62.45,62.29
Finland,CAIT,Total including LUCF,All GHG,MtCO₂e,59.29,11.43,5.73,6.47,2.38,-1.07,62.88,60.02,61.43
Botswana,CAIT,Total including LUCF,All GHG,MtCO₂e,63.76,68.83,57.82,57.28,56.09,55.73,54.92,58.79,57.45
Mongolia,CAIT,Total including LUCF,All GHG,MtCO₂e,36.16,38.92,42.31,44.76,47.31,48.92,51.2,53.99,55.72
Burkina Faso,CAIT,Total including LUCF,All GHG,MtCO₂e,41.27,31.12,31.84,32.86,33.36,34.11,53.75,54.66,54.96
Nepal,CAIT,Total including LUCF,All GHG,MtCO₂e,33.93,42.54,44.84,45.78,47.78,46.82,52.26,53.06,54.57
Chile,CAIT,Total including LUCF,All GHG,MtCO₂e,57.15,18.43,20.68,23.68,17.45,23.21,50.37,52.77,51.77
Côte d'Ivoire,CAIT,Total including LUCF,All GHG,MtCO₂e,45.94,44.83,45.79,47.09,47.05,48.1,49.41,49.77,49.55
Bahrain,CAIT,Total including LUCF,All GHG,MtCO₂e,38.92,39.66,40.88,43.76,45.9,46.95,47.15,47.94,48.95
Denmark,CAIT,Total including LUCF,All GHG,MtCO₂e,61.79,54.51,49.44,50.98,46.73,44.65,49.19,47.02,46.73
Solomon Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,2.44,-17.05,-17.03,-16.98,-17.01,-17.02,46.29,46.31,46.35
Syria,CAIT,Total including LUCF,All GHG,MtCO₂e,95.31,88.89,75.26,55.61,48.43,43.71,44.93,47.55,46.32
Niger,CAIT,Total including LUCF,All GHG,MtCO₂e,30.9,32.52,34.98,36.81,39.04,40.84,42.57,44.29,46.3
North Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,75.66,62.99,64.62,54.06,58.13,51.77,56.75,49.31,45.29
Somalia,CAIT,Total including LUCF,All GHG,MtCO₂e,43.62,43.79,44.11,44.25,44.4,44.46,44.42,44.27,44.32
Switzerland,CAIT,Total including LUCF,All GHG,MtCO₂e,51.74,47.81,49.04,50.06,46.26,45.49,45.95,44.96,43.78
Mali,CAIT,Total including LUCF,All GHG,MtCO₂e,31.8,32.76,33.43,34.62,35.19,36.67,41.05,42.14,43.74
Madagascar,CAIT,Total including LUCF,All GHG,MtCO₂e,52.19,40.25,41.03,40.01,40.11,41.14,41.83,40.56,41.29
Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,32.29,33.86,35.37,35.61,36.32,37.1,40.96,41.11,41.17
Slovakia,CAIT,Total including LUCF,All GHG,MtCO₂e,34.76,34.06,31.75,32.39,29.74,30.16,37.52,39.42,38.86
Cuba,CAIT,Total including LUCF,All GHG,MtCO₂e,36.89,33.31,33.5,32.18,31.83,31.91,42.62,39.47,38.82
Guatemala,CAIT,Total including LUCF,All GHG,MtCO₂e,40.28,34.86,35.56,36.81,37.85,40.85,37.78,37.01,38.7
Nicaragua,CAIT,Total including LUCF,All GHG,MtCO₂e,38.95,27.42,27.77,28.05,28.96,29.87,38.67,38.49,38.67
Laos,CAIT,Total including LUCF,All GHG,MtCO₂e,28.63,21.53,23.43,24.44,24.93,29.28,37.4,38.76,38.63
Dominican Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,31.09,32.22,32.99,32.76,33.01,35.38,36.23,35.45,37.5
Tunisia,CAIT,Total including LUCF,All GHG,MtCO₂e,36.65,40.18,41.13,41,43.25,44.05,35.94,36.96,37.31
Sri Lanka,CAIT,Total including LUCF,All GHG,MtCO₂e,28.05,29.14,30.51,28.37,31.22,34.51,37.21,37.83,37.15
Jordan,CAIT,Total including LUCF,All GHG,MtCO₂e,27.43,28.55,32.12,32.42,34.68,34.97,35.07,36.74,35.81
Uruguay,CAIT,Total including LUCF,All GHG,MtCO₂e,26.04,30.67,31.52,30.53,30,29.77,35.28,34.34,34.39
Senegal,CAIT,Total including LUCF,All GHG,MtCO₂e,30.85,30.01,29.7,31.06,31.67,32.58,34.15,34.1,34.36
Lebanon,CAIT,Total including LUCF,All GHG,MtCO₂e,25.07,25.68,28.28,28.28,30.23,32.58,33.71,35.52,34.28
Sweden,CAIT,Total including LUCF,All GHG,MtCO₂e,49.08,33.83,30.98,29.28,27.95,27.85,32.87,32.5,30.05
Norway,CAIT,Total including LUCF,All GHG,MtCO₂e,29.06,31.17,30.03,29.11,29.38,29.65,29.02,27.97,28.42
Honduras,CAIT,Total including LUCF,All GHG,MtCO₂e,24.46,26.31,26.24,27.07,27.39,27.69,27.37,26.94,28.13
Benin,CAIT,Total including LUCF,All GHG,MtCO₂e,22.99,23.23,23.22,23.93,24.5,25.15,26.83,27.01,28.12
